Time,UL,DL,Ping(ms)
2017:08:22:11:38:43,,,1
2017:08:22:11:38:53,0.00,203.99, 
2017:08:22:11:39:13,0.00,203.99, 
2017:08:22:11:39:46,,,
2017:08:22:11:39:57,0.00,203.99, 
2017:08:22:11:40:17,0.00,203.99, 
2017:08:22:11:41:16,,,4
2017:08:22:11:41:27,0.00,203.99, 
2017:08:22:11:41:48,0.00,203.99, 
2017:08:22:11:42:16,,,4
2017:08:22:11:42:27,0.00,203.99, 
2017:08:22:11:42:48,0.00,203.99, 
2017:08:22:11:43:50,,,
2017:08:22:11:44:02,0.00,203.99, 
2017:08:22:11:44:23,0.00,203.99, 
2017:08:22:11:44:50,,,4
2017:08:22:11:45:01,0.00,203.99, 
2017:08:22:11:45:21,0.00,203.99, 
